Square_Footage, Bedrooms, Bathrooms, Neighborhood, Year_Built, Garage_Size, Price
1650,3,4,Urban,1985,288,545753.79
2406,2,2,Suburban,1963,440,547659.15
1509,4,1,Rural,1962,515,146686.21
2297,3,1,Suburban,2005,49,321223.67
1900,3,3,Suburban,2019,519,239701.58
2961,6,2,Rural,2004,177,240016.03
1007,6,4,Suburban,1977,138,468672.83
2028,4,4,Rural,1972,195,210054.44
2671,6,2,Rural,1950,505,425986.91
1337,2,2,Suburban,2016,296,284098.95
1548,2,2,Urban,1982,552,463599.84
2109,5,3,Suburban,1952,463,325873.98
2741,3,1,Suburban,1991,648,470733.09
1691,4,4,Urban,1987,725,290357.8
1473,6,2,Rural,1996,399,320718.09
2034,5,1,Urban,1978,216,360002.57
2552,3,2,Suburban,1983,241,186952.02
2049,2,4,Urban,1952,523,160347.47
1721,2,3,Rural,2014,718,441829.81
2902,4,1,Rural,1971,90,371970.89
1511,2,3,Urban,2000,685,296352.18
2900,2,2,Suburban,2007,65,150951.14
2697,6,1,Suburban,2020,232,552933.64
1322,5,1,Urban,1966,215,473247.76
2047,6,4,Suburban,2019,630,540199.31
2667,2,2,Suburban,1975,586,400790.25
2903,6,1,Suburban,1975,479,530453.95
2313,5,2,Suburban,2000,551,485533.58
2287,2,1,Rural,1990,185,117498.98
2361,2,1,Suburban,1963,788,292858.29
2740,4,3,Rural,2008,441,395457.84
2103,4,2,Urban,2017,50,126861.16
1376,3,1,Suburban,1993,684,133864.3
2027,3,3,Suburban,1997,664,555431.04
2917,3,1,Urban,2006,543,305542.69
981,2,1,Rural,1957,307,343703.1
2212,2,4,Rural,1956,321,492768.91
1504,3,1,Urban,1976,535,283845.7
1830,4,1,Urban,1983,578,586864.46
969,5,3,Suburban,1965,469,194370.02
2369,5,2,Urban,1953,78,270378.99
1108,3,3,Urban,1983,500,171088.83
2522,2,4,Rural,2000,44,372150.42
2676,3,3,Suburban,1959,256,595304.82
2094,4,2,Rural,1985,645,313778.6
2104,3,4,Suburban,1993,534,453781.73
2883,3,1,Rural,1959,698,255851.45
2516,6,1,Urban,1992,582,217201.03
1668,5,1,Urban,1965,629,480892.91
1841,6,3,Suburban,1986,21,410225.52
2867,6,4,Suburban,2013,118,434180.29
2871,2,4,Rural,1978,397,416648.28
1501,2,3,Urban,1999,72,522212.32
1859,4,1,Rural,1982,685,371148.1
2795,4,4,Rural,1984,284,352209.95
1326,5,3,Rural,1975,469,536784.44
1966,6,1,Rural,1997,156,109306.05
1271,3,1,Suburban,1958,123,482565.69
2967,4,3,Suburban,2015,143,549942.11
1932,4,2,Urban,1995,117,376947.32
1808,5,2,Rural,2000,300,165408.47
2783,2,3,Rural,1985,186,586321.28
2758,3,4,Rural,2012,783,386008.59
1165,5,2,Rural,1991,321,442535.35
1392,5,1,Urban,1974,128,118615.9
1902,6,4,Suburban,2020,31,420621.11
1791,4,1,Urban,2001,501,300213.08
1622,6,2,Suburban,1986,202,515729.87
2508,6,1,Rural,1980,306,540632.12
1174,6,1,Suburban,1992,461,234518.57
1145,6,2,Suburban,1958,746,417734.16
2495,2,4,Suburban,1977,361,467601.6
2343,4,4,Urban,1991,307,368877.29
2803,6,4,Rural,1959,691,240747.03
1444,6,1,Rural,2016,165,169548.29
2047,3,4,Rural,1998,603,458448.86
1171,5,2,Suburban,1971,299,468747.25
2818,4,4,Urban,1960,604,135706.21
2311,4,3,Rural,1969,520,429907.59
2923,5,2,Suburban,1971,477,571253.3
1127,5,2,Suburban,2012,500,178287.04
